T96060000001	1A03_HUMAN
T96060009515	FHL3_HUMAN
T96060009516	FHL5_HUMAN
T96060009517	FHL5_HUMAN
T96060009518	FHL5_HUMAN
T96060009519	FHOD3_HUMAN
T96060009520	FHOD3_HUMAN
T96060009521	FHOD3_HUMAN
T96060009522	FHR3_HUMAN
T96060009523	FHR3_HUMAN
T96060009524	FHR4_HUMAN
T96060009525	FHR4_HUMAN
T96060009526	FHR4_HUMAN
T96060009527	FIBIN_HUMAN
T96060009528	FIBIN_HUMAN
T96060009529	FIBIN_HUMAN
T96060009530	FIG4_HUMAN
T96060009531	FIG4_HUMAN
T96060009532	FIGL1_HUMAN
T96060009533	FIGL2_HUMAN
T96060009534	FIGL2_HUMAN
T96060009535	FIGL2_HUMAN
T96060009536	FIGLA_HUMAN
T96060009537	FIGN_HUMAN
T96060009538	FIGN_HUMAN
T96060009539	FIGN_HUMAN
T96060009540	FIL1L_HUMAN
T96060009541	FIL1L_HUMAN
T96060009542	FIL1L_HUMAN
T96060009543	FILA2_HUMAN
T96060009544	FIP1_HUMAN
T96060009545	FITM1_HUMAN
T96060009546	FITM1_HUMAN
T96060009547	FITM1_HUMAN
T96060009548	FITM2_HUMAN
T96060009549	FITM2_HUMAN
T96060009550	FIZ1_HUMAN
T96060009551	FIZ1_HUMAN
T96060009552	FIZ1_HUMAN
T96060009553	FJX1_HUMAN
T96060009554	FJX1_HUMAN
T96060009555	FJX1_HUMAN
T96060009556	FKB10_HUMAN
T96060009557	FKB10_HUMAN
T96060009558	FKB10_HUMAN
T96060009559	FKB11_HUMAN
T96060009560	FKB11_HUMAN
T96060009561	FKB14_HUMAN
T96060009562	FKB14_HUMAN
T96060009563	FKB14_HUMAN
T96060009564	FKB15_HUMAN
T96060009565	FKB9L_HUMAN
T96060009566	FKB9L_HUMAN
T96060009567	FKB9L_HUMAN
T96060009568	FKBP2_HUMAN
T96060009569	FKBP2_HUMAN
T96060009570	FKBP2_HUMAN
T96060009571	FKBP3_HUMAN
T96060009572	FKBP3_HUMAN
T96060009573	FKBP6_HUMAN
T96060009574	FKBP7_HUMAN
T96060009575	FKBP7_HUMAN
T96060009576	FKBP7_HUMAN
T96060009577	FKBP9_HUMAN
T96060009578	FKBP9_HUMAN
T96060009579	FKBP9_HUMAN
T96060009580	FKBPL_HUMAN
T96060009581	FKBPL_HUMAN
T96060009582	FKRP_HUMAN
T96060009583	FKTN_HUMAN
T96060009584	FL2D_HUMAN
T96060009585	FLI1_HUMAN
T96060009586	FLII_HUMAN
T96060009587	FLIP1_HUMAN
T96060009588	FLIP1_HUMAN
T96060009589	FLNB_HUMAN
T96060009590	FLNC_HUMAN
T96060009591	FLOWR_HUMAN
T96060009592	FLOWR_HUMAN
T96060009593	FLOWR_HUMAN
T96060009594	FLRT1_HUMAN
T96060009595	FLRT1_HUMAN
T96060009596	FLRT1_HUMAN
T96060009597	FLRT2_HUMAN
T96060009598	FLRT2_HUMAN
T96060009599	FLT3L_HUMAN
T96060009600	FLT3L_HUMAN
T96060009601	FLTOP_HUMAN
T96060009602	FLTOP_HUMAN
T96060009603	FLTOP_HUMAN
T96060009604	FLVC2_HUMAN
T96060009605	FLVC2_HUMAN
T96060009606	FM25A_HUMAN
T96060009607	FM25A_HUMAN
T96060009608	FM25A_HUMAN
T96060009609	FM25C_HUMAN
T96060009610	FM25C_HUMAN
T96060009611	FM25C_HUMAN
T96060009612	FM25E_HUMAN
T96060009613	FM25E_HUMAN
T96060009614	FM25E_HUMAN
T96060009615	FM25G_HUMAN
T96060009616	FM25G_HUMAN
T96060009617	FM25G_HUMAN
T96060009618	FMAS1_HUMAN
T96060009619	FMAS1_HUMAN
T96060009620	FMAS1_HUMAN
T96060009621	FMC1_HUMAN
T96060009622	FMN1_HUMAN
T96060009623	FMN1_HUMAN
T96060009624	FMN1_HUMAN
T96060009625	FMNL2_HUMAN
T96060009626	FMNL3_HUMAN
T96060009627	FMO1_HUMAN
T96060009628	FMO3_HUMAN
T96060009629	FMO3_HUMAN
T96060009630	FMO3_HUMAN
T96060009631	FMO4_HUMAN
T96060009632	FMO4_HUMAN
T96060009633	FMO4_HUMAN
T96060009634	FMO5_HUMAN
T96060009635	FMO5_HUMAN
T96060009636	FMO6_HUMAN
T96060009637	FMO6_HUMAN
T96060009638	FMO6_HUMAN
T96060009639	FMOD_HUMAN
T96060009640	FMR1N_HUMAN
T96060009641	FMR1N_HUMAN
T96060009642	FMR1N_HUMAN
T96060009643	FMT_HUMAN
T96060009644	FMT_HUMAN
T96060009645	FMT_HUMAN
T96060009646	FN3K_HUMAN
T96060009647	FN3K_HUMAN
T96060009648	FNBP1_HUMAN
T96060009649	FNBP1_HUMAN
T96060009650	FNBP4_HUMAN
T96060009651	FNBP4_HUMAN
T96060009652	FND10_HUMAN
T96060009653	FND10_HUMAN
T96060009654	FND10_HUMAN
T96060009655	FND11_HUMAN
T96060009656	FND11_HUMAN
T96060009657	FND11_HUMAN
T96060009658	FND3A_HUMAN
T96060009659	FND3B_HUMAN
T96060009660	FND3B_HUMAN
T96060009661	FNDC1_HUMAN
T96060009662	FNDC1_HUMAN
T96060009663	FNDC4_HUMAN
T96060009664	FNDC4_HUMAN
T96060009665	FNDC5_HUMAN
T96060009666	FNDC5_HUMAN
T96060009667	FNDC5_HUMAN
T96060009668	FNDC7_HUMAN
T96060009669	FNDC7_HUMAN
T96060009670	FNDC7_HUMAN
T96060009671	FNDC8_HUMAN
T96060009672	FNDC8_HUMAN
T96060009673	FNDC9_HUMAN
T96060009674	FNDC9_HUMAN
T96060009675	FNDC9_HUMAN
T96060009676	FOCAD_HUMAN
T96060009677	FOCAD_HUMAN
T96060009678	FOLR3_HUMAN
T96060009679	FOLR3_HUMAN
T96060009680	FOLR3_HUMAN
T96060009681	FONG_HUMAN
T96060009682	FONG_HUMAN
T96060009683	FONG_HUMAN
T96060009684	FOPNL_HUMAN
T96060009685	FOSB_HUMAN
T96060009686	FOSB_HUMAN
T96060009687	FOXB1_HUMAN
T96060009688	FOXB1_HUMAN
T96060009689	FOXB1_HUMAN
T96060009690	FOXB2_HUMAN
T96060009691	FOXB2_HUMAN
T96060009692	FOXB2_HUMAN
T96060009693	FOXD1_HUMAN
T96060009694	FOXD1_HUMAN
T96060009695	FOXD2_HUMAN
T96060009696	FOXD4_HUMAN
T96060009697	FOXD4_HUMAN
T96060009698	FOXD4_HUMAN
T96060009699	FOXF1_HUMAN
T96060009700	FOXG1_HUMAN
T96060009701	FOXG1_HUMAN
T96060009702	FOXI2_HUMAN
T96060009703	FOXI2_HUMAN
T96060009704	FOXI2_HUMAN
T96060009705	FOXI3_HUMAN
T96060009706	FOXI3_HUMAN
T96060009707	FOXI3_HUMAN
T96060009708	FOXJ3_HUMAN
T96060009709	FOXK1_HUMAN
T96060009710	FOXK1_HUMAN
T96060009711	FOXK1_HUMAN
T96060009712	FOXK2_HUMAN
T96060009713	FOXL1_HUMAN
T96060009714	FOXM1_HUMAN
T96060009715	FOXN1_HUMAN
T96060009716	FOXN1_HUMAN
T96060009717	FOXN2_HUMAN
T96060009718	FOXN2_HUMAN
T96060009719	FOXN3_HUMAN
T96060009720	FOXN4_HUMAN
T96060009721	FOXN4_HUMAN
T96060009722	FOXNB_HUMAN
T96060009723	FOXNB_HUMAN
T96060009724	FOXO6_HUMAN
T96060009725	FOXO6_HUMAN
T96060009726	FOXO6_HUMAN
T96060009727	FOXP2_HUMAN
T96060009728	FOXP4_HUMAN
T96060009729	FOXP4_HUMAN
T96060009730	FOXP4_HUMAN
T96060009731	FOXQ1_HUMAN
T96060009732	FOXQ1_HUMAN
T96060009733	FOXQ1_HUMAN
T96060009734	FOXR1_HUMAN
T96060009735	FOXR1_HUMAN
T96060009736	FOXR1_HUMAN
T96060009737	FOXR2_HUMAN
T96060009738	FOXR2_HUMAN
T96060009739	FOXS1_HUMAN
T96060009740	FOXS1_HUMAN
T96060009741	FOXS1_HUMAN
T96060009742	FP100_HUMAN
T96060009743	FP100_HUMAN
T96060009744	FPGT_HUMAN
T96060009745	FPGT_HUMAN
T96060009746	FPGT_HUMAN
T96060009747	FPPS_HUMAN
T96060009748	FPR1_HUMAN
T96060009749	FPR3_HUMAN
T96060009750	FPR3_HUMAN
T96060009751	FPR3_HUMAN
T96060009752	FPRP_HUMAN
T96060009753	FPRP_HUMAN
T96060009754	FR1L4_HUMAN
T96060009755	FR1L4_HUMAN
T96060009756	FR1L4_HUMAN
T96060009757	FR1L5_HUMAN
T96060009758	FR1L5_HUMAN
T96060009759	FR1L5_HUMAN
T96060009760	FR1L6_HUMAN
T96060009761	FR1L6_HUMAN
T96060009762	FR1L6_HUMAN
T96060009763	FR8P1_HUMAN
T96060009764	FR8P1_HUMAN
T96060009765	FR8P1_HUMAN
T96060009766	FRAS1_HUMAN
T96060009767	FRAS1_HUMAN
T96060009768	FRAS1_HUMAN
T96060009769	FRAT1_HUMAN
T96060009770	FRAT2_HUMAN
T96060009771	FRAT2_HUMAN
T96060009772	FRAT2_HUMAN
T96060009773	FREM1_HUMAN
T96060009774	FREM1_HUMAN
T96060009775	FREM2_HUMAN
T96060009776	FREM2_HUMAN
T96060009777	FREM3_HUMAN
T96060009778	FREM3_HUMAN
T96060009779	FRG1_HUMAN
T96060009780	FRG2B_HUMAN
T96060009781	FRG2B_HUMAN
T96060009782	FRG2B_HUMAN
T96060009783	FRG2C_HUMAN
T96060009784	FRG2C_HUMAN
T96060009785	FRG2C_HUMAN
T96060009786	FRG2_HUMAN
T96060009787	FRG2_HUMAN
T96060009788	FRG2_HUMAN
T96060009789	FRIH_HUMAN
T96060009790	FRIL_HUMAN
T96060009791	FRITZ_HUMAN
T96060009792	FRITZ_HUMAN
T96060009793	FRITZ_HUMAN
T96060009794	FRM4A_HUMAN
T96060009795	FRM4A_HUMAN
T96060009796	FRM4A_HUMAN
T96060009797	FRM4B_HUMAN
T96060009798	FRM4B_HUMAN
T96060009799	FRMD1_HUMAN
T96060009800	FRMD1_HUMAN
T96060009801	FRMD1_HUMAN
T96060009802	FRMD3_HUMAN
T96060009803	FRMD3_HUMAN
T96060009804	FRMD3_HUMAN
T96060009805	FRMD6_HUMAN
T96060009806	FRMD6_HUMAN
T96060009807	FRMD6_HUMAN
T96060009808	FRMD7_HUMAN
T96060009809	FRMD7_HUMAN
T96060009810	FRMD8_HUMAN
T96060009811	FRMD8_HUMAN
T96060009812	FRMD8_HUMAN
T96060009813	FRP2L_HUMAN
T96060009814	FRP2L_HUMAN
T96060009815	FRP2L_HUMAN
T96060009816	FRPD1_HUMAN
T96060009817	FRPD3_HUMAN
T96060009818	FRPD3_HUMAN
T96060009819	FRPD3_HUMAN
T96060009820	FRRS1_HUMAN
T96060009821	FRRS1_HUMAN
T96060009822	FRRS1_HUMAN
T96060009823	FRS1L_HUMAN
T96060009824	FRS1L_HUMAN
T96060009825	FRS3_HUMAN
T96060009826	FRYL_HUMAN
T96060009827	FRYL_HUMAN
T96060009828	FRYL_HUMAN
T96060009829	FRY_HUMAN
T96060009830	FRY_HUMAN
T96060009831	FRY_HUMAN
T96060009832	FS2P1_HUMAN
T96060009833	FS2P1_HUMAN
T96060009834	FS2P1_HUMAN
T96060009835	FSBP_HUMAN
T96060009836	FSCB_HUMAN
T96060009837	FSCB_HUMAN
T96060009838	FSCB_HUMAN
T96060009839	FSCN2_HUMAN
T96060009840	FSCN2_HUMAN
T96060009841	FSCN2_HUMAN
T96060009842	FSCN3_HUMAN
T96060009843	FSCN3_HUMAN
T96060009844	FSCN3_HUMAN
T96060009845	FSD1L_HUMAN
T96060009846	FSD1L_HUMAN
T96060009847	FSD1L_HUMAN
T96060009848	FSD2_HUMAN
T96060009849	FSD2_HUMAN
T96060009850	FSD2_HUMAN
T96060009851	FSIP1_HUMAN
T96060009852	FSIP1_HUMAN
T96060009853	FSIP1_HUMAN
T96060009854	FSIP2_HUMAN
T96060009855	FSIP2_HUMAN
T96060009856	FSIP2_HUMAN
T96060009857	FSTL1_HUMAN
T96060009858	FSTL1_HUMAN
T96060009859	FSTL4_HUMAN
T96060009860	FSTL4_HUMAN
T96060009861	FSTL4_HUMAN
T96060009862	FSTL5_HUMAN
T96060009863	FSTL5_HUMAN
T96060009864	FSTL5_HUMAN
T96060009865	FST_HUMAN
T96060009866	FTCD_HUMAN
T96060009867	FTMT_HUMAN
T96060009868	FUCM_HUMAN
T96060009869	FUCM_HUMAN
T96060009870	FUCM_HUMAN
T96060009871	FUCT1_HUMAN
T96060009872	FUCT1_HUMAN
T96060009873	FUK_HUMAN
T96060009874	FUK_HUMAN
T96060009875	FUK_HUMAN
T96060009876	FUMH_HUMAN
T96060009877	FUND1_HUMAN
T96060009878	FUND2_HUMAN
T96060009879	FUND2_HUMAN
T96060009880	FUT10_HUMAN
T96060009881	FUT10_HUMAN
T96060009882	FUT11_HUMAN
T96060009883	FUT11_HUMAN
T96060009884	FUT11_HUMAN
T96060009885	FUT1_HUMAN
T96060009886	FUT1_HUMAN
T96060009887	FUT1_HUMAN
T96060009888	FUT2_HUMAN
T96060009889	FUT2_HUMAN
T96060009890	FUT4_HUMAN
T96060009891	FUT4_HUMAN
T96060009892	FUT4_HUMAN
T96060009893	FUT5_HUMAN
T96060009894	FUT9_HUMAN
T96060009895	FUT9_HUMAN
T96060009896	FUT9_HUMAN
T96060009897	FUZZY_HUMAN
T96060009898	FWCH1_HUMAN
T96060009899	FWCH1_HUMAN
T96060009900	FWCH2_HUMAN
T96060009901	FWCH2_HUMAN
T96060009902	FX4L1_HUMAN
T96060009903	FX4L1_HUMAN
T96060009904	FX4L1_HUMAN
T96060009905	FX4L3_HUMAN
T96060009906	FX4L3_HUMAN
T96060009907	FX4L3_HUMAN
T96060009908	FX4L4_HUMAN
T96060009909	FX4L4_HUMAN
T96060009910	FX4L4_HUMAN
T96060009911	FX4L5_HUMAN
T96060009912	FX4L5_HUMAN
T96060009913	FX4L5_HUMAN
T96060009914	FX4L6_HUMAN
T96060009915	FX4L6_HUMAN
T96060009916	FX4L6_HUMAN
T96060009917	FXDC2_HUMAN
T96060009918	FXDC2_HUMAN
T96060009919	FXDC2_HUMAN
T96060009920	FXL12_HUMAN
T96060009921	FXL12_HUMAN
T96060009922	FXL16_HUMAN
T96060009923	FXL16_HUMAN
T96060009924	FXL17_HUMAN
T96060009925	FXL18_HUMAN
T96060009926	FXL18_HUMAN
T96060009927	FXL20_HUMAN
T96060009928	FXL20_HUMAN
T96060009929	FXL21_HUMAN
T96060009930	FXL21_HUMAN
T96060009931	FXR2_HUMAN
T96060009932	FXRD1_HUMAN
T96060009933	FXYD3_HUMAN
T96060009934	FXYD3_HUMAN
T96060009935	FXYD4_HUMAN
T96060009936	FXYD4_HUMAN
T96060009937	FXYD4_HUMAN
T96060009938	FXYD5_HUMAN
T96060009939	FXYD6_HUMAN
T96060009940	FXYD6_HUMAN
T96060009941	FXYD7_HUMAN
T96060009942	FXYD7_HUMAN
T96060009943	FXYD7_HUMAN
T96060009944	FXYD8_HUMAN
T96060009945	FXYD8_HUMAN
T96060009946	FXYD8_HUMAN
T96060009947	FYB1_HUMAN
T96060009948	FYB1_HUMAN
T96060009949	FYB1_HUMAN
T96060009950	FYB2_HUMAN
T96060009951	FYCO1_HUMAN
T96060009952	FYV1_HUMAN
T96060009953	FZD8_HUMAN
T96060009954	FZR1_HUMAN
T96060009955	G0S2_HUMAN
T96060009956	G137A_HUMAN
T96060009957	G137A_HUMAN
T96060009958	G137A_HUMAN
T96060009959	G137B_HUMAN
T96060009960	G137B_HUMAN
T96060009961	G137B_HUMAN
T96060009962	G137C_HUMAN
T96060009963	G137C_HUMAN
T96060009964	G137C_HUMAN
T96060009965	G2E3_HUMAN
T96060009966	G2E3_HUMAN
T96060009967	G32P1_HUMAN
T96060009968	G32P1_HUMAN
T96060009969	G32P1_HUMAN
T96060009970	G3BP2_HUMAN
T96060009971	G3PT_HUMAN
T96060009972	G3ST1_HUMAN
T96060009973	G3ST1_HUMAN
T96060009974	G3ST1_HUMAN
T96060009975	G3ST2_HUMAN
T96060009976	G3ST2_HUMAN
T96060009977	G3ST3_HUMAN
T96060009978	G3ST3_HUMAN
T96060009979	G3ST4_HUMAN
T96060009980	G45IP_HUMAN
T96060009981	G6B_HUMAN
T96060009982	G6PC2_HUMAN
T96060009983	G6PC3_HUMAN
T96060009984	G6PE_HUMAN
T96060009985	G6PE_HUMAN
T96060009986	G6PE_HUMAN
T96060009987	G8_HUMAN
T96060009988	G8_HUMAN
T96060009989	G8_HUMAN
T96060009990	GA113_HUMAN
T96060009991	GA113_HUMAN
T96060009992	GA113_HUMAN
T96060009993	GA45B_HUMAN
T96060009994	GA45G_HUMAN
T96060009995	GAAS1_HUMAN
T96060009996	GAAS1_HUMAN
T96060009997	GAAS1_HUMAN
T96060009998	GAB1_HUMAN
T96060009999	GAB1_HUMAN
T96060010000	GAB3_HUMAN
T96060010001	GAB3_HUMAN
T96060010002	GAB3_HUMAN
T96060010003	GAB4_HUMAN
T96060010004	GAB4_HUMAN
T96060010005	GAB4_HUMAN
T96060010006	GABT_HUMAN
T96060010007	GADL1_HUMAN
T96060010008	GADL1_HUMAN
T96060010009	GADL1_HUMAN
T96060010010	GAFA1_HUMAN
T96060010011	GAFA1_HUMAN
T96060010012	GAFA1_HUMAN
T96060010013	GAG10_HUMAN
T96060010014	GAG10_HUMAN
T96060010015	GAG10_HUMAN
T96060010016	GAG13_HUMAN
T96060010017	GAG13_HUMAN
T96060010018	GAG13_HUMAN
T96060010019	GAG2A_HUMAN
T96060010020	GAG2A_HUMAN
T96060010021	GAG2A_HUMAN
T96060010022	GAG2B_HUMAN
T96060010023	GAG2B_HUMAN
T96060010024	GAG2B_HUMAN
T96060010025	GAG2E_HUMAN
T96060010026	GAG2E_HUMAN
T96060010027	GAG2E_HUMAN
T96060010028	GAGE1_HUMAN
T96060010029	GAGE1_HUMAN
T96060010030	GAGE1_HUMAN
T96060010031	GAGE4_HUMAN
T96060010032	GAGE4_HUMAN
T96060010033	GAGE4_HUMAN
T96060010034	GAGE5_HUMAN
T96060010035	GAGE5_HUMAN
T96060010036	GAGE5_HUMAN
T96060010037	GAGE6_HUMAN
T96060010038	GAGE6_HUMAN
T96060010039	GAGE6_HUMAN
T96060010040	GAGE7_HUMAN
T96060010041	GAGE7_HUMAN
T96060010042	GAGE7_HUMAN
T96060010043	GAJU_HUMAN
T96060010044	GAJU_HUMAN
T96060010045	GAJU_HUMAN
T96060010046	GAK10_HUMAN
T96060010047	GAK10_HUMAN
T96060010048	GAK10_HUMAN
T96060010049	GAK19_HUMAN
T96060010050	GAK19_HUMAN
T96060010051	GAK19_HUMAN
T96060010052	GAK1A_HUMAN
T96060010053	GAK1A_HUMAN
T96060010054	GAK1B_HUMAN
T96060010055	GAK1B_HUMAN
T96060010056	GAK21_HUMAN
T96060010057	GAK21_HUMAN
T96060010058	GAK21_HUMAN
T96060010059	GAK24_HUMAN
T96060010060	GAK24_HUMAN
T96060010061	GAK24_HUMAN
T96060010062	GAK5_HUMAN
T96060010063	GAK5_HUMAN
T96060010064	GAK5_HUMAN
T96060010065	GAK6_HUMAN
T96060010066	GAK6_HUMAN
T96060010067	GAK6_HUMAN
T96060010068	GAK7_HUMAN
T96060010069	GAK7_HUMAN
T96060010070	GAK7_HUMAN
T96060010071	GAK8_HUMAN
T96060010072	GAK8_HUMAN
T96060010073	GAK8_HUMAN
T96060010074	GAK9_HUMAN
T96060010075	GAK9_HUMAN
T96060010076	GAK9_HUMAN
T96060010077	GAK_HUMAN
T96060010078	GAL3A_HUMAN
T96060010079	GAL3A_HUMAN
T96060010080	GAL3A_HUMAN
T96060010081	GAL3B_HUMAN
T96060010082	GAL3B_HUMAN
T96060010083	GAL3B_HUMAN
T96060010084	GALC_HUMAN
T96060010085	GALC_HUMAN
T96060010086	GALC_HUMAN
T96060010087	GALD1_HUMAN
T96060010088	GALD1_HUMAN
T96060010089	GALE_HUMAN
T96060010090	GALK2_HUMAN
T96060010091	GALK2_HUMAN
T96060010092	GALNS_HUMAN
T96060010093	GALP_HUMAN
T96060010094	GALP_HUMAN
T96060010095	GALR1_HUMAN
T96060010096	GALR2_HUMAN
T96060010097	GALR3_HUMAN
T96060010098	GALT5_HUMAN
T96060010099	GALT5_HUMAN
T96060010100	GALT6_HUMAN
T96060010101	GALT6_HUMAN
T96060010102	GALT7_HUMAN
T96060010103	GALT7_HUMAN
T96060010104	GALT8_HUMAN
T96060010105	GALT8_HUMAN
T96060010106	GALT9_HUMAN
T96060010107	GALT9_HUMAN
T96060010108	GALT9_HUMAN
T96060010109	GAMT_HUMAN
T96060010110	GANC_HUMAN
T96060010111	GANC_HUMAN
T96060010112	GANC_HUMAN
T96060010113	GANP_HUMAN
T96060010114	GANP_HUMAN
T96060010115	GAN_HUMAN
T96060010116	GAPT_HUMAN
T96060010117	GAPT_HUMAN
T96060010118	GAPT_HUMAN
T96060010119	GARE1_HUMAN
T96060010120	GARE2_HUMAN
T96060010121	GARE2_HUMAN
T96060010122	GARE2_HUMAN
T96060010123	GARL3_HUMAN
T96060010124	GARL3_HUMAN
T96060010125	GAS1_HUMAN
T96060010126	GAS2_HUMAN
T96060010127	GAS2_HUMAN
T96060010128	GAS2_HUMAN
T96060010129	GAS7_HUMAN
T96060010130	GAS7_HUMAN
T96060010131	GAS7_HUMAN
T96060010132	GASP1_HUMAN
T96060010133	GASP2_HUMAN
T96060010134	GASP2_HUMAN
T96060010135	GASR_HUMAN
T96060010136	GAST_HUMAN
T96060010137	GAST_HUMAN
T96060010138	GAST_HUMAN
T96060010139	GATD1_HUMAN
T96060010140	GBB1_HUMAN
T96060010141	GBB2_HUMAN
T96060010142	GBG10_HUMAN
T96060010143	GBG10_HUMAN
T96060010144	GBG10_HUMAN
T96060010145	GBG11_HUMAN
T96060010146	GBG11_HUMAN
T96060010147	GBG11_HUMAN
T96060010148	GBG12_HUMAN
T96060010149	GBG13_HUMAN
T96060010150	GBG13_HUMAN
T96060010151	GBG14_HUMAN
T96060010152	GBG14_HUMAN
T96060010153	GBG14_HUMAN
T96060010154	GBG1_HUMAN
T96060010155	GBG1_HUMAN
T96060010156	GBG1_HUMAN
T96060010157	GBG2_HUMAN
T96060010158	GBG3_HUMAN
T96060010159	GBG3_HUMAN
T96060010160	GBG3_HUMAN
T96060010161	GBG4_HUMAN
T96060010162	GBG5_HUMAN
T96060010163	GBG7_HUMAN
T96060010164	GBG7_HUMAN
T96060010165	GBG8_HUMAN
T96060010166	GBG8_HUMAN
T96060010167	GBG8_HUMAN
T96060010168	GBGT1_HUMAN
T96060010169	GBGT1_HUMAN
T96060010170	GBGT1_HUMAN
T96060010171	GBGT2_HUMAN
T96060010172	GBP6_HUMAN
T96060010173	GBP6_HUMAN
T96060010174	GBP7_HUMAN
T96060010175	GBP7_HUMAN
T96060010176	GBP7_HUMAN
T96060010177	GBRA3_HUMAN
T96060010178	GBRA3_HUMAN
T96060010179	GBRA3_HUMAN
T96060010180	GBRA4_HUMAN
T96060010181	GBRA4_HUMAN
T96060010182	GBRA4_HUMAN
T96060010183	GBRA5_HUMAN
T96060010184	GBRA5_HUMAN
T96060010185	GBRA6_HUMAN
T96060010186	GBRA6_HUMAN
T96060010187	GBRA6_HUMAN
T96060010188	GBRB2_HUMAN
T96060010189	GBRD_HUMAN
T96060010190	GBRD_HUMAN
T96060010191	GBRD_HUMAN
T96060010192	GBRG1_HUMAN
T96060010193	GBRG1_HUMAN
T96060010194	GBRG1_HUMAN
T96060010195	GBRG2_HUMAN
T96060010196	GBRG2_HUMAN
T96060010197	GBRG2_HUMAN
T96060010198	GBRG3_HUMAN
T96060010199	GBRG3_HUMAN
T96060010200	GBRG3_HUMAN
T96060010201	GBRL1_HUMAN
T96060010202	GBRL3_HUMAN
T96060010203	GBRL3_HUMAN
T96060010204	GBRL3_HUMAN
T96060010205	GBRP_HUMAN
T96060010206	GBRP_HUMAN
T96060010207	GBRP_HUMAN
T96060010208	GBRR1_HUMAN
T96060010209	GBRR1_HUMAN
T96060010210	GBRR1_HUMAN
T96060010211	GBRR2_HUMAN
T96060010212	GBRR2_HUMAN
T96060010213	GBRR2_HUMAN
T96060010214	GBRR3_HUMAN
T96060010215	GBRR3_HUMAN
T96060010216	GBRR3_HUMAN
T96060010217	GBRT_HUMAN
T96060010218	GBRT_HUMAN
T96060010219	GBX1_HUMAN
T96060010220	GBX1_HUMAN
T96060010221	GBX1_HUMAN
T96060010222	GBX2_HUMAN
T96060010223	GBX2_HUMAN
T96060010224	GBX2_HUMAN
T96060010225	GC224_HUMAN
T96060010226	GC224_HUMAN
T96060010227	GC224_HUMAN
T96060010228	GCC1_HUMAN
T96060010229	GCC1_HUMAN
T96060010230	GCKR_HUMAN
T96060010231	GCN1_HUMAN
T96060010232	GCNT1_HUMAN
T96060010233	GCNT3_HUMAN
T96060010234	GCNT3_HUMAN
T96060010235	GCNT4_HUMAN
T96060010236	GCNT4_HUMAN
T96060010237	GCNT4_HUMAN
T96060010238	GCNT7_HUMAN
T96060010239	GCNT7_HUMAN
T96060010240	GCNT7_HUMAN
T96060010241	GCOM2_HUMAN
T96060010242	GCOM2_HUMAN
T96060010243	GCOM2_HUMAN
T96060010244	GCP2_HUMAN
T96060010245	GCP2_HUMAN
T96060010246	GCP3_HUMAN
T96060010247	GCP4_HUMAN
T96060010248	GCP4_HUMAN
T96060010249	GCP60_HUMAN
T96060010250	GCSAM_HUMAN
T96060010251	GCSH_HUMAN
T96060010252	GCSH_HUMAN
T96060010253	GCYA2_HUMAN
T96060010254	GCYA2_HUMAN
T96060010255	GCYA2_HUMAN
T96060010256	GCYB2_HUMAN
T96060010257	GCYB2_HUMAN
T96060010258	GCYB2_HUMAN
T96060010259	GD1L1_HUMAN
T96060010260	GD1L1_HUMAN
T96060010261	GD1L1_HUMAN
T96060010262	GDAP1_HUMAN
T96060010263	GDAP2_HUMAN
T96060010264	GDAP2_HUMAN
T96060010265	GDC_HUMAN
T96060010266	GDC_HUMAN
T96060010267	GDE1_HUMAN
T96060010268	GDE1_HUMAN
T96060010269	GDE1_HUMAN
T96060010270	GDE_HUMAN
T96060010271	GDF10_HUMAN
T96060010272	GDF10_HUMAN
T96060010273	GDF11_HUMAN
T96060010274	GDF1_HUMAN
T96060010275	GDF1_HUMAN
T96060010276	GDF1_HUMAN
T96060010277	GDF2_HUMAN
T96060010278	GDF5O_HUMAN
T96060010279	GDF5O_HUMAN
T96060010280	GDF5O_HUMAN
T96060010281	GDF5_HUMAN
T96060010282	GDF6_HUMAN
T96060010283	GDF6_HUMAN
T96060010284	GDF7_HUMAN
T96060010285	GDF7_HUMAN
T96060010286	GDF9_HUMAN
T96060010287	GDF9_HUMAN
T96060010288	GDIA_HUMAN
T96060010289	GDIB_HUMAN
T96060010290	GDIR1_HUMAN
T96060010291	GDIR3_HUMAN
T96060010292	GDIR3_HUMAN
T96060010293	GDPD2_HUMAN
T96060010294	GDPD2_HUMAN
T96060010295	GDPD2_HUMAN
T96060010296	GDPD3_HUMAN
T96060010297	GDPD3_HUMAN
T96060010298	GDPD4_HUMAN
T96060010299	GDPD4_HUMAN
T96060010300	GDPD4_HUMAN
T96060010301	GDPD5_HUMAN
T96060010302	GDPD5_HUMAN
T96060010303	GDPD5_HUMAN
T96060010304	GDPP1_HUMAN
T96060010305	GDS1_HUMAN
T96060010306	GEMC1_HUMAN
T96060010307	GEMC1_HUMAN
T96060010308	GEMC1_HUMAN
T96060010309	GEMI2_HUMAN
T96060010310	GEMI4_HUMAN
T96060010311	GEMI6_HUMAN
T96060010312	GEMI7_HUMAN
T96060010313	GEMI8_HUMAN
T96060010314	GFI1B_HUMAN
T96060010315	GFOD1_HUMAN
T96060010316	GFOD1_HUMAN
